X-axis,Y-axis
693630.137329448,1200130.5807765566
693630.0699211909,1200130.0283541582
693629.9864876063,1200129.5353644656
693629.9030540218,1200129.042374773
693629.8196204372,1200128.5493850806
693629.7361868528,1200128.056395388
693629.6220258446,1200127.381844479
693629.5994002098,1200126.8823566607
693629.576774575,1200126.3828688422
693629.5541489401,1200125.883381024
693629.5264799979,1200125.2725561906
693629.6490757661,1200124.7878188621
693629.7716715342,1200124.3030815336
693629.8942673024,1200123.8183442052
693630.0168630705,1200123.3336068767
693630.1643796698,1200122.7503338703
693630.3207333431,1200122.275409109
693630.4770870166,1200121.8004843479
693630.6334406899,1200121.3255595865
693630.7897943633,1200120.8506348254
693630.9461480366,1200120.375710064
693631.1025017101,1200119.900785303
693631.2588553834,1200119.4258605416
693631.5578136218,1200118.5177739777
693631.9692571422,1200118.2336714794
693632.3807006624,1200117.9495689808
693632.7921441827,1200117.6654664825
693633.2035877029,1200117.381363984
693633.6150312233,1200117.0972614856
693634.0264747435,1200116.813158987
693634.4379182638,1200116.5290564888
693634.8493617842,1200116.2449539902
693635.2608053044,1200115.960851492
693635.6722488247,1200115.6767489933
693636.083692345,1200115.392646495
693636.8713147511,1200114.8487917923
693637.339426179,1200114.673088374
693637.8075376067,1200114.497384956
693638.2756490345,1200114.321681538
693638.7437604624,1200114.1459781197
693639.2118718902,1200113.9702747017
693639.679983318,1200113.7945712835
693640.1480947458,1200113.6188678653
693640.6162061737,1200113.4431644473
693641.0843176015,1200113.267461029
693641.5524290293,1200113.091757611
693642.0205404571,1200112.9160541927
693642.8700145917,1200112.59720808
693643.3545205883,1200112.4737012412
693643.8390265849,1200112.3501944023
693644.3235325814,1200112.2266875634
693644.8080385781,1200112.1031807242
693645.2925445747,1200111.9796738853
693645.7770505713,1200111.8561670464
693646.2615565679,1200111.7326602074
693646.7460625644,1200111.6091533685
693647.230568561,1200111.4856465296
693647.7150745576,1200111.3621396907
693648.5978990217,1200111.1370963275
693649.0771342114,1200110.9945002794
693649.5563694012,1200110.8519042314
693650.0356045909,1200110.7093081833
693650.5148397806,1200110.5667121352
693650.9940749704,1200110.4241160871
693651.7196016365,1200110.2082362068
693652.2004182857,1200110.071067151
693652.6812349348,1200109.933898095
693653.162051584,1200109.7967290392
693653.6428682333,1200109.6595599835
693654.1236848824,1200109.5223909277
693654.6045015316,1200109.3852218718
693655.0982191311,1200109.2443723876
693655.5799252001,1200109.1103602124
693656.061631269,1200108.976348037
693656.543337338,1200108.8423358616
693657.0250434069,1200108.7083236864
693657.5067494758,1200108.5743115111
693657.9884555448,1200108.4402993356
693658.4701616138,1200108.3062871604
693658.9518676827,1200108.1722749851
693659.4335737517,1200108.0382628096
693659.9152798207,1200107.9042506344
693660.3969858895,1200107.770238459
693660.8786919585,1200107.6362262836
693661.3603980275,1200107.5022141084
693661.8548549118,1200107.3646546153
693662.337504689,1200107.2340820585
693662.8201544662,1200107.1035095018
693663.3028042434,1200106.972936945
693663.7854540206,1200106.8423643883
693664.2681037978,1200106.7117918315
693664.750753575,1200106.5812192748
693665.2334033522,1200106.4506467183
693665.7160531294,1200106.3200741615
693666.1987029066,1200106.1895016048
693666.6813526838,1200106.058929048
693667.164002461,1200105.9283564913
693667.6466522382,1200105.7977839345
693668.1293020154,1200105.6672113778
693668.6119517926,1200105.536638821
693669.0946015697,1200105.4060662643
693669.5772513469,1200105.2754937075
693670.0599011241,1200105.1449211508
693670.5425509013,1200105.014348594
693671.0252006785,1200104.8837760373
693671.5078504557,1200104.7532034807
693671.9905002329,1200104.622630924
693672.4731500101,1200104.4920583672
693672.9557997873,1200104.3614858105
693673.4954878564,1200104.2154825295
693673.9856142642,1200104.1166083447
693674.475740672,1200104.0177341597
693674.9658670797,1200103.918859975
693675.4559934874,1200103.81998579
693675.9461198952,1200103.7211116052
693676.4362463029,1200103.6222374202
693676.9263727106,1200103.5233632354
693677.4164991184,1200103.4244890504
693677.9066255261,1200103.3256148656
693678.3967519338,1200103.2267406809
693678.8868783416,1200103.1278664959
693679.3770047494,1200103.028992311
693679.8671311571,1200102.930118126
693680.3572575648,1200102.8312439413
693680.8473839726,1200102.7323697563
693681.3375103803,1200102.6334955716
693681.827636788,1200102.5346213868
693682.3177631958,1200102.4357472018
693682.8078896035,1200102.336873017
693683.2980160112,1200102.237998832
693683.7881424191,1200102.1391246472
693684.7274759766,1200101.9496310016
693685.2194916998,1200101.8606336531
693685.7115074232,1200101.7716363047
693686.2035231465,1200101.6826389562
693686.6955388697,1200101.5936416078
693687.1875545931,1200101.5046442593
693687.6795703163,1200101.415646911
693688.1715860396,1200101.3266495625
693688.663601763,1200101.237652214
693689.1556174862,1200101.1486548656
693689.6476332095,1200101.0596575171
693690.1396489328,1200100.9706601687
693690.6316646561,1200100.8816628202
693691.1236803794,1200100.7926654718
693691.6156961027,1200100.7036681233
693692.1411569235,1200100.6086211207
693692.6378758855,1200100.551434822
693693.1345948476,1200100.4942485231
693693.6313138095,1200100.4370622244
693694.1280327716,1200100.3798759256
693694.6247517336,1200100.322689627
693695.1214706956,1200100.2655033283
