X-axis,Y-axis
693798.1726213017,1200267.5359971626
693798.1355895528,1200267.0373703989
693798.098557804,1200266.538743635
693798.0615260551,1200266.0401168712
693798.0244943063,1200265.5414901073
693797.9874625575,1200265.0428633436
693797.9504308086,1200264.5442365797
693797.9133990598,1200264.045609816
693797.8763673109,1200263.5469830523
693797.8393355621,1200263.0483562883
693797.8023038132,1200262.5497295246
693797.7652720644,1200262.0511027607
693797.7282403155,1200261.552475997
693797.6912085667,1200261.053849233
693797.6541768177,1200260.5552224694
693797.617145069,1200260.0565957057
693797.5801133201,1200259.5579689418
693797.5430815712,1200259.059342178
693797.5060498224,1200258.5607154141
693797.4690180735,1200258.0620886504
693797.4319863247,1200257.5634618865
693797.3949545758,1200257.0648351228
693797.357922827,1200256.566208359
693797.3208910781,1200256.0675815952
693797.2838593293,1200255.5689548315
693797.2468275804,1200255.0703280675
693797.2097958316,1200254.5717013038
693797.1727640828,1200254.07307454
693797.1357323339,1200253.5744477762
693797.0987005851,1200253.0758210125
693797.0616688362,1200252.5771942486
693797.0246370874,1200252.0785674849
693796.9876053385,1200251.579940721
693796.9505735897,1200251.0813139572
693796.9135418407,1200250.5826871933
693796.8765100919,1200250.0840604296
693796.8394783431,1200249.585433666
693796.8024465942,1200249.086806902
693796.7654148454,1200248.5881801383
693796.7283830965,1200248.0895533743
693796.6913513477,1200247.5909266106
693796.6543195988,1200247.0922998467
693796.61728785,1200246.593673083
693796.5802561011,1200246.0950463193
693796.5432243523,1200245.5964195554
693796.5061926034,1200245.0977927917
693796.4521400266,1200244.369983215
693796.4013292274,1200243.8725716523
693796.350518428,1200243.3751600895
693796.2997076288,1200242.8777485269
693796.2488968296,1200242.3803369643
693796.1980860302,1200241.8829254014
693796.147275231,1200241.3855138388
693796.0964644317,1200240.8881022763
693796.0456536325,1200240.3906907134
693795.9948428331,1200239.8932791508
693795.9440320339,1200239.3958675882
693795.8932212347,1200238.8984560254
693795.8424104353,1200238.4010444628
693795.7915996361,1200237.9036329002
693795.7407888368,1200237.4062213376
693795.6899780375,1200236.9088097748
693795.6391672383,1200236.4113982122
693795.588356439,1200235.9139866496
693795.5375456397,1200235.4165750868
693795.4867348404,1200234.9191635242
693795.4359240412,1200234.4217519616
693795.385113242,1200233.9243403987
693795.3343024426,1200233.4269288362
693795.2834916434,1200232.9295172736
693795.2326808441,1200232.4321057107
693795.1341526762,1200231.4675656788
693795.0768223691,1200230.9708633174
693795.0194920622,1200230.4741609558
693794.9621617551,1200229.9774585944
693794.904831448,1200229.4807562327
693794.847501141,1200228.9840538714
693794.7901708339,1200228.48735151
693794.7328405268,1200227.9906491484
693794.6755102199,1200227.493946787
693794.6181799128,1200226.9972444256
693794.5608496057,1200226.500542064
693794.5035192987,1200226.0038397026
693794.4461889917,1200225.507137341
693794.3888586847,1200225.0104349796
693794.3315283776,1200224.5137326182
693794.2741980705,1200224.0170302566
693794.2168677635,1200223.5203278952
693794.1595374565,1200223.0236255338
693794.1022071494,1200222.5269231722
693794.0448768424,1200222.0302208108
693793.9875465353,1200221.5335184492
693793.9302162282,1200221.0368160878
693793.8728859213,1200220.5401137264
693793.8155556142,1200220.0434113648
693793.7582253071,1200219.5467090034
693793.7008950001,1200219.050006642
693793.643564693,1200218.5533042804
693793.5818968258,1200218.0190218587
693794.0790330132,1200217.9655839403
693794.5761692007,1200217.9121460216
693795.0733053881,1200217.8587081032
693795.5704415756,1200217.8052701848
693796.067577763,1200217.7518322663
693796.5647139505,1200217.6983943477
693797.0618501379,1200217.6449564293
693797.5589863254,1200217.5915185108
693798.0561225128,1200217.5380805922
693798.5532587003,1200217.4846426737
693799.0503948877,1200217.4312047553
693799.5475310752,1200217.3777668367
693800.0446672626,1200217.3243289182
693800.5418034501,1200217.2708909998
693801.0389396375,1200217.2174530814
693801.5360758249,1200217.1640151627
693802.0332120124,1200217.1105772443
693802.5303481998,1200217.057139326
693803.0274843873,1200217.0037014072
693803.5246205747,1200216.9502634888
693804.0217567622,1200216.8968255704
693804.5188929496,1200216.8433876517
693805.0160291371,1200216.7899497333
693805.5131653245,1200216.7365118149
693806.010301512,1200216.6830738964
693806.5074376994,1200216.6296359778
693807.0045738869,1200216.5761980594
693807.5017100743,1200216.522760141
693807.9988462618,1200216.4693222223
693808.4959824492,1200216.4158843039
693808.9931186365,1200216.3624463854
693809.490254824,1200216.3090084668
693809.9873910114,1200216.2555705484
693810.484527199,1200216.20213263
693810.9816633863,1200216.1486947115
693811.4787995738,1200216.0952567928
693811.9759357612,1200216.0418188744
693812.4730719487,1200215.988380956
693812.9702081361,1200215.9349430373
693813.4673443236,1200215.881505119
693813.964480511,1200215.8280672005
693814.4616166985,1200215.7746292818
693814.9587528859,1200215.7211913634
693815.4558890733,1200215.667753445
693815.9530252608,1200215.6143155266
693816.4501614482,1200215.560877608
693816.9472976357,1200215.5074396895
693817.4444338231,1200215.454001771
693817.9415700106,1200215.4005638524
693818.438706198,1200215.347125934
693818.9358423855,1200215.2936880155
693819.4329785729,1200215.240250097
693819.9301147604,1200215.1868121785
693820.4272509478,1200215.13337426
693820.9243871353,1200215.0799363416
693821.4215233227,1200215.026498423
693821.9186595102,1200214.9730605045
693822.4157956976,1200214.919622586
693822.912931885,1200214.8661846675
693823.4100680725,1200214.812746749
693823.9072042599,1200214.7593088306
693824.4043404474,1200214.705870912
693824.9014766348,1200214.6524329935
693825.3986128223,1200214.598995075
693825.8957490097,1200214.5455571567
693826.3928851972,1200214.492119238
693826.8900213846,1200214.4386813196
693827.3871575721,1200214.3852434012
693827.8842937595,1200214.3318054825
693828.381429947,1200214.278367564
693828.8785661344,1200214.2249296457
693829.3757023219,1200214.171491727
693829.8728385093,1200214.1180538086
693830.3699746967,1200214.0646158902
693830.8671108842,1200214.0111779717
693831.3642470716,1200213.957740053
693831.8613832591,1200213.9043021346
693832.3585194465,1200213.8508642162
693832.855655634,1200213.7974262976
693833.3527918214,1200213.7439883791
693833.8499280089,1200213.6905504607
693834.3470641962,1200213.637112542
693834.8442003838,1200213.5836746236
693835.3413365711,1200213.5302367052
693835.8384727587,1200213.4767987868
693836.335608946,1200213.4233608681
693836.8327451335,1200213.3699229497
693837.3298813209,1200213.3164850313
693837.8270175083,1200213.2630471126
693838.3241536958,1200213.2096091942
693838.8212898832,1200213.1561712758
693839.3184260707,1200213.102733357
693839.8155622581,1200213.0492954387
693840.3126984456,1200212.9958575203
693840.809834633,1200212.9424196018
693841.3069708205,1200212.8889816832
693841.8041070079,1200212.8355437648
693842.3012431954,1200212.7821058463
693842.7983793828,1200212.7286679277
693843.2955155703,1200212.6752300092
693843.7926517577,1200212.6217920908
693844.2897879451,1200212.5683541722
693844.7869241326,1200212.5149162537
693845.28406032,1200212.4614783353
693845.7811965075,1200212.408040417
693846.2783326949,1200212.3546024982
693846.7754688824,1200212.3011645798
693847.2726050698,1200212.2477266614
693847.7697412573,1200212.1942887427
693848.2668774447,1200212.1408508243
693848.7640136322,1200212.0874129059
693849.2611498196,1200212.0339749872
693849.7582860071,1200211.9805370688
693850.2554221945,1200211.9270991504
693850.752558382,1200211.873661232
693851.2496945694,1200211.8202233133
693851.7468307568,1200211.7667853949
693852.2439669443,1200211.7133474764
693852.7411031317,1200211.6599095578
693853.2382393192,1200211.6064716394
693853.7353755066,1200211.553033721
693854.2325116941,1200211.4995958023
693854.7296478815,1200211.4461578839
693855.226784069,1200211.3927199654
693855.7239202564,1200211.339282047
693856.2210564439,1200211.2858441283
693856.7181926313,1200211.23240621
693857.2370290572,1200211.1766357
693857.5957679078,1200210.8283449637
693857.9545067584,1200210.4800542272
693858.3132456089,1200210.1317634908
693858.6719844595,1200209.7834727543
693859.0307233101,1200209.435182018
693859.3894621606,1200209.0868912814
693859.7482010112,1200208.738600545
693860.1069398618,1200208.3903098085
693860.4656787125,1200208.0420190722
693860.824417563,1200207.6937283357
693861.4892174242,1200207.0482904834
693861.4575962789,1200206.549291382
693861.4259751335,1200206.0502922807
693861.3943539882,1200205.5512931794
693861.3627328429,1200205.052294078
693861.3311116976,1200204.5532949765
693861.2994905523,1200204.0542958751
693861.267869407,1200203.5552967738
693861.2362482616,1200203.0562976724
693861.2046271163,1200202.557298571
693861.173005971,1200202.0582994698
693861.1413848257,1200201.5593003684
693861.1097636803,1200201.060301267
693861.0781425349,1200200.5613021655
693861.0465213896,1200200.0623030642
693861.0149002443,1200199.5633039628
693860.983279099,1200199.0643048615
693860.9516579537,1200198.5653057601
693860.9200368084,1200198.0663066588
693860.888415663,1200197.5673075574
693860.8567945177,1200197.068308456
693860.8251733724,1200196.5693093545
693860.7935522271,1200196.0703102532
693860.7619310818,1200195.5713111518
693860.7303099365,1200195.0723120505
693860.6833384691,1200194.3310764076
693860.6265729766,1200193.8343091796
693860.5698074842,1200193.3375419516
693860.5130419916,1200192.8407747233
693860.4562764992,1200192.3440074953
693860.3995110067,1200191.8472402673
693860.3427455141,1200191.3504730393
693860.2859800217,1200190.8537058113
693860.2292145292,1200190.356938583
693860.1724490367,1200189.860171355
693860.1156835442,1200189.363404127
693860.0589180517,1200188.866636899
693860.0021525592,1200188.369869671
693859.9453870667,1200187.873102443
693859.8886215743,1200187.3763352148
693859.8318560817,1200186.8795679868
693859.7750905892,1200186.3828007588
693859.7183250968,1200185.8860335308
693859.6615596042,1200185.3892663028
693859.5670777824,1200184.5624352351
693859.5009778175,1200184.066823699
693859.4348778527,1200183.571212163
693859.3687778878,1200183.075600627
693859.3026779229,1200182.579989091
693859.236577958,1200182.084377555
693859.1704779932,1200181.5887660189
693859.1043780283,1200181.093154483
693859.0382780634,1200180.597542947
693858.9721780985,1200180.1019314108
693858.9060781337,1200179.6063198748
693858.8399781688,1200179.110708339
693858.7738782039,1200178.6150968028
693858.707778239,1200178.1194852667
693858.6416782743,1200177.6238737307
693858.5755783094,1200177.1282621948
693858.5094783445,1200176.6326506587
693858.4433783796,1200176.1370391226
693858.3772784148,1200175.6414275866
693858.3111784499,1200175.1458160507
693858.245078485,1200174.6502045146
693858.1789785201,1200174.1545929785
693858.1128785553,1200173.6589814425
693858.0467785904,1200173.1633699064
693857.9806786255,1200172.6677583705
693857.9145786607,1200172.1721468344
693857.8484786958,1200171.6765352983
693857.782378731,1200171.1809237623
693857.716278766,1200170.6853122264
693857.6501788013,1200170.1897006903
693857.5840788364,1200169.6940891542
693857.5179788715,1200169.1984776182
693857.4518789066,1200168.7028660823
693857.3857789418,1200168.2072545462
693857.3196789769,1200167.7116430101
693857.253579012,1200167.216031474
693857.1874790471,1200166.7204199382
693857.1213790823,1200166.2248084021
693857.0552791174,1200165.729196866
693856.9891791525,1200165.23358533
693856.9230791876,1200164.7379737939
693856.8569792229,1200164.242362258
