,x,y
318,693643.0213087024,1200197.6609912352
319,693643.0212040722,1200197.647198106
320,693643.0210983575,1200197.6332620215
321,693643.0209930716,1200197.6193824543
322,693643.0208884862,1200197.6055952352
323,693643.0207828135,1200197.5916646917
324,693643.0206789118,1200197.5779676044
325,693642.597792325,1200195.8915620022
326,693642.5975978,1200195.8773966583
327,693642.5973937577,1200195.8625382665
328,693642.5971998826,1200195.8484202544
329,693642.5970048186,1200195.8342156594
330,693642.1695655534,1200194.3343891497
331,693642.1692743677,1200194.319664018
332,693642.1689763217,1200194.3045919633
333,693642.1686774261,1200194.289476941
334,693642.1683861302,1200194.2747462397
335,693642.1680624052,1200194.258375611
336,693642.1677702203,1200194.2435999527
337,693641.8458750361,1200192.9969570385
338,693641.8455057843,1200192.9816787902
339,693641.8451384269,1200192.9664789273
340,693641.8447767628,1200192.9515146294
341,693641.8443910725,1200192.9355562227
342,693641.5254665609,1200191.6682731837
343,693641.5250238276,1200191.652740581
344,693641.5245713309,1200191.6368654429
345,693641.5241204932,1200191.6210485105
346,693641.5236776765,1200191.6055129766
347,693641.5232307776,1200191.5898342312
348,693641.522789966,1200191.5743690468
349,693641.5236080992,1200190.232598062
350,693641.5231556584,1200190.2163816646
351,693641.5227093821,1200190.2003862145
352,693641.5222630339,1200190.1843881852
353,693641.5218147427,1200190.168320519
354,693641.5213645207,1200190.1521836454
355,693641.531052032,1200188.9021631656
356,693641.5306102468,1200188.8858692693
357,693641.530163687,1200188.8693992728
358,693641.5297181562,1200188.852967233
359,693641.529269562,1200188.8364222064
360,693641.5288245098,1200188.8200078206
361,693641.7494402304,1200187.7902335033
362,693641.7490570708,1200187.773538279
363,693641.7486730953,1200187.7568074986
364,693641.7482910822,1200187.7401622331
365,693641.7478957443,1200187.722936366
366,693641.7475156009,1200187.7063725647
367,693641.973752855,1200186.7922095053
368,693641.9734377629,1200186.7752576682
369,693641.9731186692,1200186.7580905436
370,693641.9727814149,1200186.7399463796
371,693641.9724656843,1200186.722960188
372,693641.9721468546,1200186.7058072633
373,693641.987584183,1200185.5821136343
374,693641.9872679069,1200185.564499355
375,693641.9869077859,1200185.544443233
376,693641.9865995953,1200185.5272792587
377,693641.9862893476,1200185.5100007209
378,693641.9859673704,1200185.4920689363
379,693641.994878529,1200184.3654020892
380,693641.994569718,1200184.3477041393
381,693641.9942577777,1200184.3298268442
382,693641.9939476517,1200184.3120535312
383,693641.9936341133,1200184.2940846554
384,693641.9933249028,1200184.2763638103
385,693642.1079292257,1200183.1492104228
386,693642.1076573908,1200183.1310456821
387,693642.1073889358,1200183.1131067958
388,693642.1071109602,1200183.0945317203
389,693642.1068383459,1200183.0763148966
390,693642.1065626576,1200183.0578926622
391,693642.012972466,1200181.8245098833
392,693642.012658767,1200181.8054245184
393,693642.0123458537,1200181.7863869478
394,693642.0120409026,1200181.7678337926
395,693642.0116949215,1200181.7467843802
396,693642.0113880147,1200181.7281122368
397,693641.9109301529,1200180.6036135629
398,693641.9105738569,1200180.5837841788
399,693641.9102283531,1200180.5645554238
400,693641.9098918275,1200180.5458263475
401,693641.9095489214,1200180.5267421696
402,693641.9091858256,1200180.5065343487
403,693641.8080452174,1200179.4932277738
404,693641.8076606471,1200179.473534024
405,693641.8072878885,1200179.4544451488
406,693641.806916731,1200179.4354382644
407,693641.8065332382,1200179.4157996906
408,693641.8061521822,1200179.3962859078
409,693641.8117155519,1200178.2796934026
410,693641.8113394891,1200178.259886972
411,693641.810972491,1200178.2405579628
412,693641.8106052139,1200178.2212142476
413,693641.8102281837,1200178.201356871
414,693641.8098627215,1200178.1821087452
415,693641.8180714009,1200177.1701075062
416,693641.8177071931,1200177.1503158535
417,693641.8173342238,1200177.1300480855
418,693641.8169709207,1200177.1103055938
419,693641.8166102725,1200177.0907073796
420,693641.8162531448,1200177.0713004665
421,693641.7191782105,1200175.9559949972
422,693641.7187733927,1200175.9357270799
423,693641.718370335,1200175.9155472768
424,693641.7179680377,1200175.8954055477
425,693641.71755429,1200175.874690532
426,693641.7171510692,1200175.8545025701
427,693641.722346901,1200174.846376476
428,693641.7219396582,1200174.8254406685
429,693641.7215423011,1200174.8050130785
430,693641.7211290515,1200174.7837684734
431,693641.720726945,1200174.7630967181
432,693641.7203249352,1200174.7424299344
433,693641.7293111017,1200173.6328135293
434,693641.7289131301,1200173.6116677837
435,693641.7284792282,1200173.5886129225
436,693641.7280834131,1200173.5675817574
437,693641.7276980631,1200173.5471066455
438,693641.7272978505,1200173.5258418259
439,693641.7363929356,1200172.4160006922
440,693641.7360077737,1200172.3948253158
441,693641.7356200363,1200172.373508344
442,693641.7352197536,1200172.351501665
443,693641.7348355055,1200172.3303765324
444,693641.7344482042,1200172.3090835405
445,693641.6381464191,1200171.0913658005
446,693641.6377178382,1200171.0697232408
447,693641.6372908113,1200171.0481591572
448,693641.6368582014,1200171.0263131408
449,693641.63642878,1200171.0046281458
450,693641.6359937412,1200170.982659474
451,693641.5366258922,1200169.7633620691
452,693641.5361606496,1200169.74164323
453,693641.5356918728,1200169.7197593972
454,693641.5352175348,1200169.6976159508
455,693641.5347060923,1200169.673740367
456,693641.5342320076,1200169.6516087481
457,693641.4350024342,1200168.435197473
458,693641.4344890676,1200168.4128939922
459,693641.4339721021,1200168.3904341517
460,693641.4334616148,1200168.3682557584
461,693641.4329497986,1200168.3460196322
462,693641.4324393251,1200168.3238418403
463,693641.2274200656,1200167.1065168222
464,693641.2268061467,1200167.0837253968
465,693641.2261902352,1200167.060859997
466,693641.2255845173,1200167.038373028
467,693641.2249423397,1200167.014532512
468,693641.2243351068,1200166.9919892978
469,693640.9099576306,1200165.8842487154
470,693640.9091626406,1200165.8606100425
471,693640.9083830372,1200165.8374288843
472,693640.9075871494,1200165.8137635181
473,693640.9068084229,1200165.7906084328
474,693640.9060249362,1200165.7673118096
475,693640.6956577192,1200164.558685614
476,693640.6947618437,1200164.5351674252
477,693640.6938511357,1200164.511259858
478,693640.6929577644,1200164.4878074082
479,693640.6920365581,1200164.4636242422
480,693640.3792657602,1200163.1230413264
481,693640.3782193873,1200163.099406373
482,693640.3771637882,1200163.0755630233
483,693640.3760393346,1200163.050164421
484,693640.3749470871,1200163.0254932756
485,693640.3739007713,1200163.0018596086
486,693640.2709331035,1200161.7908289027
487,693640.2698277306,1200161.7665062922
488,693640.2687306987,1200161.7423672164
489,693640.2676293924,1200161.718134087
490,693640.2664953455,1200161.6931805345
491,693640.2653370474,1200161.6676933595
492,693640.1697207052,1200160.3553313508
493,693640.1685777243,1200160.3306796176
494,693640.1673966593,1200160.305206492
495,693640.1661316308,1200160.2779224494
496,693640.1649735825,1200160.252945748
497,693640.1638358088,1200160.2284063247
498,693640.0681072627,1200159.023852902
499,693640.0669135328,1200158.998639113
500,693640.0657380992,1200158.973811776
501,693640.06456985,1200158.9491361869
502,693640.0633838472,1200158.9240856115
503,693640.062203145,1200158.8991469925
504,693639.967111761,1200157.5885504358
505,693639.9658859617,1200157.563102669
506,693639.964663232,1200157.537718628
507,693639.9634178597,1200157.5118645248
508,693639.9621732137,1200157.4860254964
509,693639.960940351,1200157.4604310922
510,693639.8655028762,1200156.2570308973
511,693639.8642289982,1200156.2311056114
512,693639.8629750374,1200156.2055856688
513,693639.8617135949,1200156.1799134617
514,693639.8604424499,1200156.1540437974
515,693639.8590433979,1200156.1255710365
516,693639.7651238979,1200154.714376832
517,693639.7638179621,1200154.6881384419
518,693639.7624776846,1200154.6612100704
519,693639.761149089,1200154.6345164056
520,693639.7598409014,1200154.608232771
521,693639.7585094556,1200154.5814818435
522,693639.7707452446,1200153.1658413166
523,693639.7693877443,1200153.137321374
524,693639.7681235331,1200153.1107613598
525,693639.7668382832,1200153.0837593374
526,693639.7655613461,1200153.0569319623
527,693639.764279346,1200153.0299982177
528,693639.9909552326,1200151.7254728253
529,693639.9898876005,1200151.6985385655
530,693639.9887288242,1200151.669304915
531,693639.9876403591,1200151.64184508
532,693639.9865587516,1200151.614558247
533,693639.985479343,1200151.5873268913
534,693640.4291405969,1200150.3969426092
535,693640.4283216692,1200150.3655929386
536,693640.4276094405,1200150.3383278504
537,693640.4268910446,1200150.3108266722
538,693640.4261712953,1200150.2832736874
539,693640.7669245009,1200149.2864749457
540,693640.7664770426,1200149.2586187369
541,693640.7660195109,1200149.2301354192
542,693640.7655678573,1200149.2020180398
543,693640.7651249547,1200149.174445452
544,693640.7646739022,1200149.1463654893
545,693641.10153938,1200148.1811410664
546,693641.1013665836,1200148.15190929
547,693641.1012010548,1200148.1239069477
548,693641.101035016,1200148.0958183557
549,693641.1008686016,1200148.0676662114
550,693641.1006997185,1200148.0390964379
551,693641.5432851162,1200146.8630144517
552,693641.5434829067,1200146.8345086374
553,693641.5436803462,1200146.806053406
554,693641.5438790992,1200146.7774088718
555,693641.5440988948,1200146.7457316571
556,693641.5442994187,1200146.7168319086
557,693641.7751998529,1200145.7513616397
558,693641.7755835577,1200145.7226248556
559,693641.7759655152,1200145.6940189325
560,693641.7763474417,1200145.6654153324
561,693641.7767441325,1200145.635705995
562,693641.7771407509,1200145.6060020777
563,693641.6839501964,1200144.4300168445
564,693641.6842581385,1200144.3997745386
565,693641.6845740174,1200144.3687527878
566,693641.6848798117,1200144.3387214183
567,693641.6851790826,1200144.309330699
568,693641.6854755349,1200144.2802167847
569,693641.5826378628,1200143.1020093095
570,693641.5828433894,1200143.0717116985
571,693641.5830424792,1200143.0423629475
572,693641.5832519379,1200143.0114856984
573,693641.583454335,1200142.981649416
574,693641.5836563604,1200142.9518679213
575,693641.2715862867,1200141.343772635
576,693641.2714379427,1200141.310794315
577,693641.2713014806,1200141.2804574347
578,693641.2711680891,1200141.2508031828
579,693641.2710317799,1200141.2205003125
580,693640.8461681416,1200139.8942905
581,693640.8456139299,1200139.8627044957
582,693640.8450622823,1200139.8312646279
583,693640.8445167857,1200139.8001753234
584,693640.8439825684,1200139.7697288552
585,693640.8434206642,1200139.7377044414
586,693640.7325667943,1200138.883013379
587,693640.7319325095,1200138.8520666785
588,693640.7312253029,1200138.817562134
589,693640.7305936485,1200138.7867437708
590,693640.7299534411,1200138.755508104
591,693640.7293072091,1200138.7239785034
592,693640.7333974544,1200138.1012495693
593,693640.732770502,1200138.0698569987
594,693640.7321364123,1200138.0381070506
