time,verror,vsteer,gsteer
61,-23.65,-11.825000000941259,-25.0
62,-31.0,-15.499999999873292,-25.0
63,-13.149999999999999,-6.574999998370897,-25.0
64,-6.9,-3.44999999951127,-19.99351874348402
65,-7.35,-3.67500000016291,-18.577171921071713
66,-1.3500000000000014,-0.6749999995293713,-15.300028172492299
67,6.600000000000001,3.3000000000000007,-8.414468897872476
68,6.0,2.999999999782786,-7.862659140212711
69,16.9,8.45000000144809,-6.030864347251865
70,-2.4000000000000004,-1.1999999999275957,-11.708203691282037
71,-2.5999999999999996,-1.297167272555592,-12.040369192539716
72,-1.1000000000000014,-0.5499999995112701,-11.32563230949223
73,-1.0500000000000007,-0.5249999994388652,-9.592487860551076
74,-13.25,-6.625000000162911,-14.537182052136913
75,-0.9000000000000004,-0.44999999963797754,-8.849408757186362
76,14.2,7.100000001067967,-7.996165611433521
77,4.349999999999998,2.175000000199111,-15.134407506322807
78,-7.05,-3.5250000003620228,-1.4429069725402113
79,-0.09999999999999964,-0.049999999565572634,20.34731104741159
80,-5.6,-2.800000000705944,20.556149586924494
81,5.949999999999999,2.9749999995836736,21.160247460835347
82,-14.4,-7.200000000217214,13.327857637803287
83,-1.3499999999999996,-0.6762492365776468,21.362074326854962
84,-21.299999999999997,-10.64999999954747,7.5692795346697865
85,-4.15,-2.0668079790284266,20.70461895271754
86,5.649999999999999,2.8250000001991116,25.0
87,-5.3500000000000005,-2.674999999420764,18.79630408467962
88,-7.95,-3.975000000018101,23.33313591218684
89,-6.45,-3.224999999294056,25.0
90,0.3000000000000007,0.1500000009593604,25.0
91,-6.0,-3.0000000013213826,24.48484710161629
92,-5.550000000000001,-2.7750000006697424,25.0
93,-0.5999999999999996,-0.2999999997646851,25.0
94,1.5,0.7499999995836739,25.0
95,1.5999999999999979,0.8000000003258193,25.0
96,2.1499999999999986,1.0750000001991118,25.0
97,-7.55,-3.7749999992216514,24.951448972713802
98,-9.6,-4.800000002045428,25.0
99,-3.95,-1.9750000000905057,25.0
100,-2.45,-1.2249999992035503,25.0
101,-5.6000000000000005,-2.8000000006154386,25.0
102,-1.5999999999999996,-0.7999999939723227,25.0
103,-2.3,-1.1500000006516407,25.0
104,0.75,0.37500000090505664,25.0
105,16.9,8.450000006317294,25.0
106,-3.5,-1.7499999996741795,14.001077978097875
107,-2.1500000000000004,-1.0749999991854493,15.73825568419732
108,-3.55,-1.7750000000362023,16.79583723184555
109,0.9000000000000004,0.45000000027151715,18.663212774263613
110,-18.25,-9.124999999891394,11.603552982541583
111,-12.9,-6.449999999927596,20.69774828884465
112,2.6999999999999993,1.3500000002534156,25.0
113,3.9000000000000004,1.9500000007240454,22.91227447990385
114,-2.000000000000001,-1.0000000011403718,22.385981420169905
115,-5.9,-2.949999999818989,20.82156276245121
116,-2.75,-1.3749999987148196,21.917458626851207
117,-0.3500000000000014,-0.17499999952937126,24.861629180293825
118,-2.2,-1.1000000007783488,23.749047977039634
119,-3.0,-1.5000000007602476,22.305235210962156
120,-5.1,-2.5499999999456966,21.00940444087282
121,-1.0,-0.4999999992759547,23.91731372910411
122,-2.700000000000001,-1.349999999927596,24.71369145669259
123,-5.25,-2.6250000007240453,24.237761328539147
124,-4.95,-2.4750000003439214,23.959383260058917
125,-2.6500000000000004,-1.3249999989320334,25.0
126,-3.8000000000000007,-1.9000000001991129,24.702087983782697
127,-6.6,-3.2999999992759546,24.013485783350156
128,0.8499999999999996,0.42500000030771906,25.0
129,-8.05,-4.025000000090506,23.233568089346303
130,-1.3500000000000014,-0.6750000003620233,24.901696831255016
131,-2.25,-1.1250000003620226,24.984614813193858
132,1.299999999999999,0.6499999998732915,25.0
133,4.0,1.9999999997827864,25.0
134,0.40000000000000036,0.19999999920355035,25.0
135,-0.6999999999999993,-0.360949904188338,25.0
136,-0.15000000000000036,-0.07499999934835941,25.0
137,0.09999999999999964,0.049999999637977174,25.0
